Bulgarisch,Bulgarian
Deutsch (Ich spreche Deutsch.),German (I speak German.)
Englisch,English
gut (Guten Tag!),good (Good day!)
guten Tag,Good day!  Hello!
Indonesisch,Indonesian
international,international
Italienisch,Italian
Japanisch,Japanese
Russisch,Russian
Serbisch,Serbian
Sie (Ordnen Sie zu.),you (formal) (Match.)
Türkisch,Turkish
Ungarisch,Hungarian
was (Was ist das?),what? (What is that?)
zu|ordnen,"to assign, to match"
zus mmen|gehören,to fit together
"die Autobahn, -en",highway
"das Butterbrot, -e",sandwich
das (das Würstchen),the (the sausage)
der (der Kindergarten),the (the kindergarten)
die (die Flasche),the (the bottle)
"die Flasche, -n",bottle
"das Handtuch, ""-er",towel
"der Kindergarten, ""-",kindergarten
"der Koffer, -",suitcase
"der/die Kranke, -n",sick person
"die Nudel, -n",noodle
"das Würstchen, -",sausage
"das Würstel, -",sausage
auf („Würstchen“ heißt auf Italienisch „wurstel“.),in (“Sausage” in Italian is called “wurstel”.)
"heißen, er heißt, hat geheißen („Würstchen“ heißt auf Italienisch „wurstel“.)",to be called (“Sausage” in Italian is called “wurstel”.)
"Ihr, Ihre (Wie heißen die Wörter in Ihrer Sprache?)",here: your (What are the words called in your language?)
n (+ D.) (Wie heißen die Wörter in Ihrer Sprache?),in (What are the words called in your language?)
Spanisch,Spanish
"die Sprache, -n",language
wie (Wie heißen die Wörter in Ihrer Sprache?),here: what (What are the words called in your language?)
"das Wort, ""-er",word
"andere,  anderer",other
deutsch,German
"ein, eine",a
"kennen, er kennt, hat gekannt",to know
"das Kursplakat, -e",course poster
machen (Machen Sie ein Kursplakat.),to make (Make a course poster.)
sammeln,to collect
und,and
auch,also
bis bald,see you soon
ciao,bye
danke,thank you
die (Wie heißen die Personen?),the (What are the people called?)
"dir (Wie geht's? - Gut, und dir?)","you (dat.) (How are you? - Good, and you?)"
du,you
"die Entsch ldigung, -en (Entschuldigung, wie heißt du?)","here: to be sorry (I'm sorry, what is your name?)"
"ga nz (Wie geht's? - Ganz gut, danke.)","here: pretty (How are you? - Pretty good, thank you.)"
"gehen, er geht, ist gegangen (Wie geht's?)",to go (How's it going?)
"gut (Wie geht es Ihnen? - Danke, sehr gut!)","good (How are you? - Thank you, very well!)"
hallo,hello
"heißen, er heißt, hat geheißen (Ich heiße Niklas.)",to be named (My name is Niklas.)
hören,to hear
ich,I
"lesen, er liest, hat gelesen",to read
"die Person, -en",person
"sehr (Wie geht's? - Danke, sehr gut.)","very (How are you? Thank you, very well.)"
"sein, er ist, ist gewesen (Hallo, ich bin Julia.)","to be (Hello, I am Julia.)"
tschüs,bye
wer (Wer bist du?),who? (Who are you?)
"die Situation, -en",situation
spielen,to play
bekannt,well-known
"der Name, -n",name
oder (Julia oder Niklas),or (Julia or Niklas)
auf Wiedersehen,goodbye
das (Das ist Frau Kowalski.),this (This is Mrs Kowalski.)
es,it
guten Morgen,good morning
"Herr (Guten Tag, Herr Hansen.)","Mr (Good day, Mr Hansen)"
Ihnen (Wie geht es Ihnen?),"you (formal, dat.) (How are you?)"
"mein, meine",my
formell,formal
informell,informal
"der Nachname, -n",last name
"das Personalpronomen, -",personal pronoun
"das Verb, -en",verb
"der Vorname, -n",first name
"die Antwort, -en",answer
aus (+ D.) (Ich komme aus Deutschland.),here: from (I'm from Germany.)
"kommen, er kommt, ist gekkmmen",to come from
"die Reiseführerin, -nen",travel guide (f)
"sprechen, er spricht, hat gesprochen",to speak
"das Telefon, -e",telephone
"welche, welcher",which
wo (Wo wohnen Sie?),where (Where do you live?)
woher (Woher kommst du?),from where (From where are you?)
wohnen,to live
"der Aussagesatz, ""-e",declarative sentence
"das Interview, -s",interview
variieren,to vary
"die W-Frage, -n",w-question
er,he
ergänzen,to complete
sie (Sie kommt aus Deutschland.),she (She's from Germany.)
notieren,to note
"der Partner, -",partner (m)
"die Partnerin, -nen",partner (f)
"raten, er rät, hat geraten",to guess
vor|stellen (Stellen Sie Ihren Partner im Kurs vor.),to introduce (Introduce your partner to the course.)
acht,eight
achtzehn,eighteen
"der Buchstabe, -n",letter
dann,then
drei,three
dreizehn,thirteen
eins,one
elf,eleven
fünf,five
fünfzehn,fifteen
laut,loud
"mit|sprechen, er spricht mit, hat mitgesprochen",to speak along
neun,nine
neunzehn,nineteen
null,zero
sechs,six
sechzehn,sixteen
sieben,seven
siebzehn,seventeen
vier,four
vierzehn,fourteen
"die Zahl, -en",number
zehn,ten
zwanzig,twenty
zwölf ,twelve
"die Handynummer, -n",mobile phone number
"dein, deine",your
fragen,to ask
"die Telefonnummer, -n",telephone number
"das Alphabet, -e",alphabet
zuerst,at first
"die E-Mail-Adresse, -n",email address
"das Gespräch, -e",conversation
man,one
minus,minus
"der Punkt, -e (der Punkt am Satzende)",period (the period at the end of a sentence)
sagen,to say
"schreiben, er schreibt, hat geschrieben",to write
"der Unterstrich, -e",underscore
bitte,please
buchstabieren,to spell
"der Dialog, -e",dialogue
ein bisschen,a little
langsam,slow
nicht,not
noch einmal,once more
"verstehen, er versteht, hat verst nden (Das verstehe ich nicht.)",to understand (I do not understand that.)
Algerien,Algeria
Arabisch,Arabic
Brasilien,Brasil
Französisch,French
Japan,Japan
"das Land, ""-er",country
lernen (Sie lernt Spanisch.),to learn (She's learning Spanish.)
Österreich,Austria
Portugiesisch,Portugese
die Schweiz (Sg.) (Sie kommt aus der Schweiz.),Switzerland (She's from Switzerland.)
sie (Kennst du die Personen? Wo wohnen sie?),they (Do you know the people? Where do they live?)
"die Tabelle, -n","table, chart"
die USA (Pl.) (Olivia kommt aus den USA.),USA (Olivia is from the USA.)
Frankreich,France
Griechenland,Greece
Italien,Italy
Mexiko,Mexico
Portugal,Portugal
Thailand,Thailand
Polen,Poland
Polnisch,Polish
Rätoromanisch,Raetho-Romanic
Russland,Russia
Spanien,Spain
die Türkei (Sg.),Turkey
die Ukraine (Sg.),Ukraine
zu (Arbeiten Sie zu zweit.),here: as (Work as a pair.)
zweit (Arbeiten Sie zu zweit.),here: pair (Work as a pair.)
kurz (Schreiben Sie einen kurzen Text.),short (Write a short text.)
"die Stadt, ""-e",city
"der Text, -e",text
das Befinden (Sg.),condition
darauf,upon
"die Grammatik, -en",grammar
grüßen,to great
reagieren,to react
"das Redemittel, -",useful phrases
"das Subjekt, -e",subject
über (+ A.) (über andere sprechen),about (to speak about others)
verabschieden,to say goodbye
"das W-Wort, ""-er",w-word
